,CDCID,GenusName,InitialExposure,LastExposure,TotalCases,Exposurestate,ExposureState,ExposureCounty1,ExposureCounty2,ExposureCounty3,ExposureCounty4,ExposureCounty5,ExposureCounty6,ExposureCounty7,ExposureCounty8,ExposureCounty9,ExposureCounty10,ExposureCounty11,TEMP,MAX,MIN,DEWP,SLP,STP,WDSP,MXSPD,PRCP,SNDP,Fog,Rain or Drizzle,Snow or Ice Pellets,Hail,Thunder,Tornado or Funnel Cloud,Median age,Immigrants,Households Median Income,%Food preparation,"%Farming, fishing, and forestry",Population Density,RH,SLP-STP,MSXPD-WDSP
1066,267844,Norovirus,2016/3/5,2016/3/13,31,TN,Tennessee,Knox,,,,,,,,,,,58.26888889,73.83,43.30111111,45.36666667,1020.173333,985.9933333,4.111111111,12.52111111,0.024444444,0.0,0.111111111,0.111111111,0.0,0.0,0.0,0.0,37.40219178,29475.60822,50189.23562,6.684303382,0.101017248,882.8272515,62.1392361533831,34.17999969999994,8.409999999
1067,267902,Norovirus,2015/12/31,2015/12/31,8,CO,Colorado,Arapahoe,,,,,,,,,,,14.2,25.3,5.7,7.7,1029.4,830.1,4.3,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,64032.0,62213.0,6.01250268,0.131294638,747.6306227,74.80867080983577,199.30000000000007,2.7
1068,268046,Norovirus,2016/3/18,2016/3/18,8,OH,Ohio,Huron,,,,,,,,,,,46.54,56.86,37.25,8.39,1014.7,967.0,8.8,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.37972603,2466.410959,48951.92877,5.465256672,2.40667578,119.8669881,20.675021537038763,47.700000000000045,10.2
1069,268055,Norovirus,2016/3/17,2016/4/1,25,TN,Tennessee,Shelby,,,,,,,,,,,57.16875,69.215625,45.515625,41.203125,1016.025,1004.390625,7.709375,15.23125,0.018666667,0.0,0.0,0.25,0.0,0.0,0.09375,0.0,35.14986301,38551.90548,46836.51781,5.393256778,0.130306847,1231.354798,55.11142949697363,11.634374999999977,7.521875
1070,267944,Norovirus,2016/1/14,2016/1/14,25,CO,Colorado,Arapahoe,,,,,,,,,,,38.2,53.8,25.5,12.3,1005.1,816.4,11.5,24.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.39178082,65011.50137,66353.66027,5.872316495,0.182112934,775.5936651,33.95196682033993,188.70000000000005,12.600000000000001
1071,267965,Norovirus,2015/12/27,2015/12/29,13,NE,Nebraska,Douglas,,,,,,,,,,,21.05,28.56666667,15.43333333,16.05,1024.533333,984.9166667,10.28333333,15.81666667,0.063333333,1.7,0.166666667,0.0,0.666666667,0.0,0.0,0.0,33.80164384,29442.13699,53453.9863,5.861684425,0.280298302,1616.973848,80.6429244685687,39.616666300000134,5.53333334
1072,267978,Norovirus,2016/3/14,2016/3/14,11,VA,Virginia,Suffolk,,,,,,,,,,,62.1,79.3,49.3,60.8,1013.1500244140625,1009.2,3.8,8.9,0.46,0.0,0.0,1.0,0.0,0.0,1.0,0.0,38.48493151,6450.016438,65627.24932,5.12823367,0.397693824,217.7117739,95.51067555759832,3.9500244140624545,5.1000000000000005
1073,267980,Norovirus,2016/3/15,2016/3/15,12,NY,New York,Suffolk,,,,,,,,,,,46.75,51.46666667,40.88333333,44.03333333,1009.3,1007.116667,11.0,16.73333333,1.42,0.0,0.0,0.833333333,0.0,0.0,0.0,0.0,40.95041096,33665.85205,90073.89863,4.649589154,0.214164059,1647.827242,90.20360989662638,2.183332999999948,5.733333330000001
1074,268021,Norovirus,2016/3/18,2016/3/18,16,NY,New York,Onondaga,,,,,,,,,,,38.7,45.0,34.0,33.6,1010.1,994.4,10.2,22.9,0.16,0.0,0.0,1.0,1.0,0.0,0.0,0.0,38.90630137,24549.63288,55736.08767,5.890443153,0.218785432,603.0224029,81.71555889165305,15.700000000000045,12.7
1075,268032,Norovirus,2016/2/6,2016/2/15,30,NC,North Carolina,Mecklenburg,,,,,,,,,,,34.21,45.54,22.35,13.46,1019.98,991.69,5.38,10.57,0.001,0.0,0.0,0.2,0.1,0.0,0.0,0.0,34.77232877,76983.65616,59155.90959,6.279641495,0.099575717,1932.084329,41.8539643033435,28.289999999999964,5.19
1076,268081,Norovirus,2016/3/21,2016/3/23,11,MN,Minnesota,Wright,,,,,,,,,,,37.05,47.36666667,29.4,26.78333333,1005.7000122070312,976.5333333,8.35,15.33333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.85315068,8118.509589,75429.84658,4.169339934,0.677207519,196.5370503,66.05902497658413,29.16667890703127,6.983333330000001
1077,268212,Norovirus,2016/2/21,2016/2/21,5,GA,Georgia,DeKalb,,,,,,,,,,,57.7,64.9,43.0,55.6,1019.4,983.6,5.1,14.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,35.28219178,67712.87123,52589.51781,5.992795847,0.092029873,2708.747608,92.70193692176204,35.799999999999955,8.9
1078,268106,Norovirus,2016/3/19,2016/3/21,21,WI,Wisconsin,Milwaukee,,,,,,,,,,,34.75,43.0,28.66666667,23.5,1022.3,995.3166667,6.65,11.78333333,0.0,0.0,0.0,0.0,0.333333333,0.0,0.0,0.0,34.37205479,40666.65205,45082.35068,6.449652027,0.294822113,3968.773887,63.107124046205996,26.983333299999913,5.133333329999999
1079,268119,Norovirus,2016/2/24,2016/2/24,10,TX,Texas,San Patricio,,,,,,,,,,,56.4,67.6,44.2,33.5,1011.0999755859375,1018.9,15.7,24.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.42684932,5501.380822,52743.29863,6.801755748,0.732870228,96.31973545,41.83635887013082,-7.800024414062477,8.400000000000002
1080,268124,Norovirus,2016/3/17,2016/3/18,50,FL,Florida,Orange,,,,,,,,,,,74.625,88.05,65.25,61.35,1015.325,1011.375,6.2,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.57328767,103461.1616,49218.86575,8.152773279,0.243811936,1387.777661,63.38123669905136,3.9500000000000455,8.3
1081,268129,Norovirus,2015/12/3,2015/12/3,6,CA,California,Orange,,,,,,,,,,,59.63333333,79.73333333,42.86666667,34.3,1017.8,1015.466667,2.166666667,7.333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.73068493,134087.4548,76037.2,5.614914705,0.308038264,3906.816944,38.466749397292126,2.333332999999925,5.166666665999999
1082,268131,Norovirus,2015/8/1,2015/8/1,5,CA,California,San Diego,,,,,,,,,,,72.11428571,81.31428571,66.90714286,62.55833333,1014.127273,995.6583333,4.7,9.978571429,0.0,0.0,0.071428571,0.0,0.0,0.0,0.0,0.0,34.98328767,154759.3671,64126.34521,6.226329038,0.659985099,760.6518666,71.95404368426598,18.468939699999964,5.278571429
1083,268132,Norovirus,2015/7/29,2015/8/1,8,CA,California,San Diego,,,,,,,,,,,72.6802381,81.2302381,66.19511905,63.09150641,1014.667876,996.9415064,4.725,10.51630952,0.000333333,0.0,0.03452381,0.016666667,0.0,0.0,0.0,0.0,34.98410959,154748.2589,64127.63151,6.227155526,0.659891737,760.690898,71.92908824467604,17.726369599999998,5.79130952
1084,268133,Norovirus,2015/12/12,2015/12/12,19,CA,California,Orange,,,,,,,,,,,54.83333333,66.73333333,40.6,32.6,1012.6,1010.3,4.633333333,13.33333333,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.72082192,134059.6658,76024.6,5.612337803,0.307803792,3905.889428,42.70901167048803,2.300000000000068,8.699999996999999
1085,268134,Norovirus,2015/11/20,2015/11/20,26,CA,California,Santa Cruz,,,,,,,,,,,58.8,73.0,48.9,49.2,1018.6,1012.8,2.6,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.91123288,17766.30685,66960.40548,7.267038891,4.262078087,600.7504598,70.42949472070818,5.800000000000068,3.4
1086,268172,Norovirus,2015/12/1,2015/12/4,6,IL,Illinois,Piatt,,,,,,,,,,,35.28,39.2,31.1675,15.41,1020.85,993.7075,8.565,13.1275,0.0675,0.0,0.0,0.5,0.25,0.0,0.0,0.0,43.02342466,925.5465753,63256.46986,3.500639175,1.200700355,37.67656948,43.6908757615328,27.14250000000004,4.5625
1087,268173,Norovirus,2016/1/23,2016/1/23,32,IL,Illinois,Lake,,,,,,,,,,,27.0,32.0,23.0,21.0,1024.2,995.9,4.4,8.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.8909589,40792.8411,79987.66027,4.616172663,0.146948289,1588.604661,77.7624245661027,28.300000000000068,3.5999999999999996
1088,268174,Norovirus,2016/1/30,2016/2/1,23,IL,Illinois,Cook,,,,,,,,,,,39.38888889,47.91111111,32.41111111,33.05555556,1007.85,984.7333333,6.5,13.31111111,0.006666667,0.0,0.0,0.333333333,0.0,0.0,0.0,0.0,36.18191781,175829.5918,56917.67397,5.603884694,0.091047223,5545.836956,77.82726291607379,23.116666699999996,6.811111110000001
