,Unnamed: 0,CDCID,GenusName,InitialExposure,LastExposure,TotalCases,Exposurestate,ExposureState,ExposureCounty1,ExposureCounty2,ExposureCounty3,ExposureCounty4,ExposureCounty5,ExposureCounty6,ExposureCounty7,ExposureCounty8,ExposureCounty9,ExposureCounty10,ExposureCounty11,TEMP,SLP,WDSP,PRCP,RH,SLP-STP,MXSPD-WDSP,Median age,Immigrants,Households Median Income,%Food preparation,"%Farming, fishing, and forestry",Population Density
28,238,12134,Norovirus,2012-08-24,2012-08-24,22,NY,New York,Otsego,,,,,,,,,,,68.95,1021.37,1.21,0.0,34.86941562,15.26,3.68,40.33063831625772,5271.5789796282215,45886.26266628825,6.3300493055191565,0.7590460445377727,62.1093742542331
29,239,12158,Norovirus,2012-06-28,2012-06-29,15,CO,Colorado,Boulder,,,,,,,,,,,68.73333333,1013.1754150390624,4.85,0.1175,43.37340931,39.987831115722656,13.2,35.55068313165851,31870.35740312247,67026.74408043997,5.935725083452048,0.2451113003504682,406.3854534916608
30,245,12375,Norovirus,2012-08-04,2012-08-04,6,CA,California,San Diego,,,,,,,,,,,67.64285714,1012.481818,4.5,0.0,70.03952418,20.6181816,5.264285714,34.65859497215513,162069.0700586715,63661.177535129296,5.830141072707314,0.6002148313898393,733.2968234375015
31,250,12463,Norovirus,2012-06-05,2012-06-13,180,CA,California,Contra Costa,,,,,,,,,,,64.0,1014.253333,8.26,0.000888889,43.56463329,1.964444,6.32666667,38.39796019001015,56361.966697851785,78675.0725533836,4.51538858617548,0.3068349818331415,1458.3635807485691
32,308,13582,Norovirus,2012-06-09,2012-06-09,25,NJ,New Jersey,Essex,,,,,,,,,,,69.9,1012.9,1.5,0.0,60.72043401,6.7,6.5,36.23899292731281,29831.20577550973,55476.95167830428,4.2359241740563816,0.0818136956177383,6200.945330346265
33,310,13629,Norovirus,2012-07-23,2012-07-23,10,NJ,New Jersey,Gloucester,,,,,,,,,,,78.63,1017.62,5.8,0.0,40.97757586,1.16,4.13,38.610218545505234,12831.619955023758,75083.10269150486,4.316949105038702,0.2465692590137564,893.531412438722
34,328,14119,Norovirus,2012-07-27,2012-07-27,8,WI,Wisconsin,Milwaukee,,,,,,,,,,,71.93333333,1009.0,5.033333333,0.05,78.43839311,25.25,8.566666667,33.69209128457371,38550.68077125304,43590.55115232982,6.052814843683576,0.4120209068023906,3913.183264221059
35,377,15320,Norovirus,2013-06-15,2013-06-15,117,IL,Illinois,Boone,,,,,,,,,,,68.27,1015.74,5.09,0.04,70.83344267,27.89,6.09,36.8935997767488,2511.440335970473,62598.21439710588,3.7647911405514822,0.5707558056624417,192.75336869907537
36,386,15193,Norovirus,2013-06-02,2013-06-02,9,IL,Illinois,Cook,,,,,,,,,,,56.98,1010.0,8.18,0.268,85.89688628,21.5333333,6.4,35.3761630715989,171586.07291540844,54580.28161278879,5.562774965888463,0.1078931306734718,5504.778145304616
37,387,15249,Norovirus,2013-06-01,2013-06-01,8,SC,South Carolina,Charleston,,,,,,,,,,,76.78,1020.55,5.65,0.0,77.77123443,1.55,4.525,35.86835759225739,29896.20188956187,50397.34080312031,7.428955864135634,0.2715564748961938,387.5569407579557
38,392,15451,Norovirus,2013-06-28,2013-06-28,25,NY,New York,Nassau,Queens,Suffolk,,,,,,,,,73.99090909,1000.979,9.502727273,0.067272727,76.14597972,1.7123333,6.032272727,39.50370780191152,53054.84692706602,80670.62610887476,4.964527458804835,0.1143414116681226,9012.408238687383
39,393,15457,Norovirus,2013-06-09,2013-06-09,10,GA,Georgia,Chatham,,,,,,,,,,,80.4,1018.75,5.4,0.0,80.27578968,1.85,6.9,34.018289059456514,18124.811464244853,45552.07822106509,7.402990286700648,0.3413336455819208,629.6104074978035
40,396,15523,Norovirus,2013-07-10,2013-07-18,9,OH,Ohio,Stark,,,,,,,,,,,76.57888889,1020.702222,4.951111111,0.31,72.1682596,42.2711109,6.764444449,41.38125257389585,14324.075215544332,45631.26592610277,7.171211683166943,0.3100078224558705,652.6353043751792
41,398,15553,Norovirus,2013-07-05,2013-07-05,29,TX,Texas,Harris,,,,,,,,,,,83.4,1013.75,3.35,0.0,54.79025698,2.9,7.46428571,32.23316717343276,196852.9642023521,53115.84901371503,5.557968852615334,0.1716459540818094,2431.495080663821
42,399,15592,Norovirus,2013-06-24,2013-06-29,91,MA,Massachusetts,Essex,,,,,,,,,,,73.88333333,1007.741667,6.25,0.3275,76.12266691,4.158334,6.675,40.51258908059074,30092.42594977156,67040.38551938342,5.293243686704049,0.2612073854963155,1518.0677470507026
43,402,15607,Norovirus,2013-06-23,2013-06-26,22,FL,Florida,Indian River,,,,,,,,,,,81.975,1019.675,6.425,0.0,76.27376533,0.9,6.075,49.21882997042584,9015.767269797228,44981.33002133205,5.81632066157518,1.9085136100049105,275.8764637018314
44,403,15637,Norovirus,2013-08-04,2013-08-10,48,TN,Tennessee,Robertson,,,,,,,,,,,76.16857143,1015.757143,3.898571429,0.244285714,80.62142947,20.3485716,7.248571431,37.94119682606805,3965.076749420011,52702.2141085873,4.215846738127576,0.7638266027826587,139.50645746926418
45,412,15735,Norovirus,2013-08-17,2013-08-24,7,OH,Ohio,Franklin,,,,,,,,,,,71.203125,1020.3375,3.40625,0.0178125,67.13445035,30.0625,5.6875,33.5508486518105,69743.61811807711,50745.40986933773,5.848877954638643,0.1357371303480156,2210.769414730299
46,413,15754,Norovirus,2013-08-24,2013-08-24,22,OR,Oregon,Multnomah,,,,,,,,,,,68.25,1012.1,2.85,0.0,64.24361403,2.3,3.7,36.0244492182914,59117.271834453786,52234.55826773113,7.238077047267246,0.5290506036665962,1725.29413114425
47,414,15794,Norovirus,2013-08-11,2013-08-11,34,KS,Kansas,McPherson,,,,,,,,,,,74.02,1018.11,4.71,0.0,74.74401194,50.49,5.02,41.85721562339128,1599.4901189997768,54101.03668747316,5.102250408030841,1.3802265057653749,32.57699493457489
48,415,15817,Norovirus,2013-07-20,2013-07-20,42,CA,California,San Diego,,,,,,,,,,,66.35,1011.169231,4.325,0.0,74.06196033,18.3525643,4.51875,34.757111773315444,155645.0285938181,62980.24253783908,5.843075409826662,0.6051324169951444,741.8724356083537
49,419,15925,Norovirus,2013-08-10,2013-08-12,19,OR,Oregon,Washington,,,,,,,,,,,67.03333333,1015.7,2.966666667,0.0,69.20537379,8.066667,4.366666666,35.519135208387034,39309.42048215446,64185.89858682051,5.408044477398678,1.141281597805648,740.8995759681706
50,421,15983,Norovirus,2013-06-14,2013-06-14,8,CA,California,San Diego,,,,,,,,,,,64.83125,1013.364286,5.33125,0.0,68.3916725,19.1059527,5.05,34.747033989500835,156278.01982071766,63033.5012479279,5.840317969828633,0.6052209812993036,741.0067444905538
51,424,16000,Norovirus,2013-06-23,2013-06-26,15,CA,California,San Diego,,,,,,,,,,,67.24,1013.230357,5.517916667,0.0,68.05361999,19.0903949,5.715625003,34.74998867295332,156087.6209364479,63016.69268789729,5.840973440971754,0.605160048812992,741.258359353887
52,425,16077,Norovirus,2013-06-09,2013-06-09,7,CA,California,San Diego,,,,,,,,,,,63.76875,1012.935714,3.88125,0.0,69.9275931,19.0190473,5.20625,34.74562308816054,156370.16156017434,63041.84421387204,5.840044874634123,0.6052583236654195,740.8871318386869
53,428,16110,Norovirus,2013-08-30,2013-08-30,8,ID,Idaho,Ada,,,,,,,,,,,77.3,1014.3,3.1,0.0,30.30877947,97.9,4.9,35.092656180495545,28114.7213199472,55256.111626277925,5.63554781360211,0.4674681785107054,379.40305854876937
54,433,16211,Norovirus,2013-06-07,2013-06-07,9,CA,California,Orange,,,,,,,,,,,65.93333333,1011.566667,3.766666667,0.0,71.62845114,2.2,6.2,36.28087305439367,133667.12090543463,75421.71806398632,5.443227776447141,0.3126287145111577,3838.610925581536
55,435,16230,Norovirus,2013-08-24,2013-08-24,13,CA,California,Orange,,,,,,,,,,,70.43333333,1009.1,3.433333333,0.0,68.27213036,2.166667,5.233333334,36.32325529522517,134354.8570245764,75388.32856399044,5.490564331323513,0.3094220244914252,3846.54083677774
56,460,16630,Norovirus,2013-06-15,2013-06-15,24,WA,Washington,Pierce,,,,,,,,,,,59.025,1016.5,3.0,0.0,66.42407686,11.633333,4.5,35.742721643609045,56114.23231869701,59112.65436300165,5.676592949466946,0.3410618105234283,480.1752245171469
57,466,17106,Norovirus,2013-06-28,2013-06-28,8,NE,Nebraska,Buffalo,,,,,,,,,,,77.0,1020.6389770507812,9.3,0.0,56.43474299,43.37619400024414,8.8,32.275700317473174,4314.292942111873,50502.47438613469,5.981864538634843,1.5660930482244,48.13968221166159
58,488,17993,Norovirus,2013-06-08,2013-06-08,13,NJ,New Jersey,Ocean,,,,,,,,,,,74.5,1007.4,7.3,0.0,65.81530605,2.9,4.7,42.65505087342911,20244.092112495862,61030.22938509008,5.431106150449118,0.2498596227857893,918.0569188491628
59,570,19418,Norovirus,2014-06-14,2014-06-14,50,VA,Virginia,Frederick,,,,,,,,,,,67.0,1015.4249267578124,6.1,0.0,68.04445184,58.00614547729492,12.0,39.456896827931146,5694.015372814934,68563.93682370016,3.533913219198109,0.6493434536959779,193.1709260869869
60,571,19455,Norovirus,2014-06-15,2014-06-15,5,OH,Ohio,Lucas,,,,,,,,,,,67.7,1018.55,8.766666667,0.0,52.71700535,25.05,6.566666663,37.50939304108295,19073.310417991077,41683.85447499711,7.243106941984367,0.2789416173485018,1287.682644340684
61,572,19466,Norovirus,2014-06-18,2014-06-20,26,SC,South Carolina,Sumter,,,,,,,,,,,82.06666667,1018.2,3.833333333,0.0,64.42190851,8.8,5.566666667,35.44979846393256,5875.057138112429,41023.70104138927,5.862824850435753,0.4835170786378454,161.99329990299825
62,573,19489,Norovirus,2014-06-14,2014-06-15,7,IL,Illinois,Cook,,,,,,,,,,,67.86,1015.2,9.67,0.0,49.29506192,22.05,8.36,35.59206944429156,174163.53335815683,54651.92442165484,5.65755658109871,0.0927260823999082,5521.174728207691
63,574,19545,Norovirus,2014-06-24,2014-06-24,7,FL,Florida,Orange,,,,,,,,,,,81.95,1019.35,5.0,0.305,73.44317208,4.0,7.45,34.10568475814709,96356.45071624308,47501.11917257413,8.407805976473046,0.298622754097933,1313.5252022219486
64,575,19564,Norovirus,2014-06-28,2014-06-28,6,FL,Florida,St. Johns,,,,,,,,,,,83.2,1019.5,7.3,0.09,70.77648684,0.4,2.6,42.56920329091426,19288.430886928625,65273.9535775291,6.93631509535731,0.1931607897114761,333.13517566754683
65,576,19699,Norovirus,2014-07-05,2014-07-05,16,OH,Ohio,Lorain,,,,,,,,,,,68.5,1025.2,3.0,0.0,53.03184282,28.7,4.0,40.552823724384346,13688.174202710192,52273.32138480286,6.156041707340623,0.2416803814367569,615.1456109111951
66,577,19713,Norovirus,2014-07-18,2014-07-18,16,OH,Ohio,Lucas,,,,,,,,,,,68.16666667,1021.7,5.033333333,0.0,55.25249183,25.0,7.266666667,37.52784758080122,19090.31604973729,41704.08493255592,7.2301104932289375,0.2799802067174653,1287.3517541970746
67,578,19875,Norovirus,2014-06-25,2014-06-26,24,WI,Wisconsin,Milwaukee,,,,,,,,,,,58.85,1016.75,6.533333333,0.0025,88.63800874,25.875,5.616666667,33.887192257224655,39546.76597154544,43221.170275734745,6.466574225120372,0.3236442289677884,3943.389033367652
68,579,20060,Norovirus,2014-07-18,2014-07-22,21,IN,Indiana,Adams,,,,,,,,,,,69.344,1018.996,2.87,0.006,68.76276454,29.398,5.47,34.15358060529831,1069.7454823313983,47525.78322613197,4.931267359332507,1.3169425039442442,101.71128320240948
69,580,19941,Norovirus,2014-06-09,2014-06-09,15,GA,Georgia,Fulton,,,,,,,,,,,78.3,1012.3,3.0,0.0,68.35535527,29.3,5.9,34.42214884981691,88323.99003968715,56658.61171396245,5.943979738527384,0.1792366335393908,1816.623478083311
70,583,20066,Norovirus,2014-07-23,2014-07-25,25,CT,Connecticut,New London,,,,,,,,,,,72.5,1011.977778,6.822222222,0.003333333,75.05448282,-0.022222,6.077777778,40.56466035329444,18303.51141362561,66543.85502415053,6.627514236073945,0.2124754511042184,412.3514513899684
71,584,20071,Norovirus,2014-08-02,2014-08-02,20,OH,Ohio,Hamilton,,,,,,,,,,,71.6,1018.4,3.5,0.0,73.5803956,17.7,11.5,37.15799193391131,38769.190057523054,48774.61145003845,6.482083763200345,0.0751560297144298,1978.2360568287968
