,Unnamed: 0.1,Unnamed: 0,CDCID,GenusName,InitialExposure,LastExposure,TotalCases,Exposurestate,ExposureState,ExposureCounty1,ExposureCounty2,ExposureCounty3,ExposureCounty4,ExposureCounty5,ExposureCounty6,ExposureCounty7,ExposureCounty8,ExposureCounty9,ExposureCounty10,ExposureCounty11,ExposureCounty12,ExposureCounty13,ExposureCounty14,ExposureCounty15,ExposureCounty16,ExposureCounty17,ExposureCounty18,ExposureCounty19,TEMP,SLP,WDSP,PRCP,RH,SLP-STP,MXSPD-WDSP,Median age,Immigrants,Households Median Income,%Food preparation,"%Farming, fishing, and forestry",Population Density
31,328,392,266454,Salmonella,2015-02-23,2015-03-12,6,ID,Idaho,Ada,,,,,,,,,,,,,,,,,,,42.25,1020.366667,5.266666667,0.005,47.32997288,101.8722226,6.833333333,35.55091506254104,27452.237843654173,55886.714460725525,5.696200173224765,0.4470779313152769,390.1165462094433
32,330,395,266822,Salmonella,2015-12-12,2015-12-12,16,NV,Nevada,Carson City,,,,,,,,,,,,,,,,,,,31.5,1016.440185546875,1.8,0.0,67.21163887,35.12253189086914,7.1,42.57662569305192,6461.123968878736,47741.36117584312,7.350019172126426,0.0879591437937621,376.6532716201893
33,331,396,266858,Salmonella,2015-12-16,2015-12-17,7,OR,Oregon,Marion,,,,,,,,,,,,,,,,,,,43.05,1019.55,7.2,0.275,91.24762962,7.5,6.55,35.79270418178868,20187.070645712647,48367.88834132751,5.8346034308456165,4.681302925687588,273.30291621867195
34,332,397,266936,Salmonella,2015-12-31,2016-01-03,7,IA,Iowa,Muscatine,,,,,,,,,,,,,,,,,,,26.15,1014.5765991210938,8.6,0.0,73.16086759,50.7901611328125,5.9,38.199447807389085,1610.8819677007816,53682.76652658154,6.362711499073438,0.6748729633798609,98.0941120816856
35,335,400,267020,Salmonella,2015-12-17,2015-12-17,24,HI,Hawaii,Honolulu,,,,,,,,,,,,,,,,,,,76.31666667,1017.5,9.766666667,0.023333333,68.33186515,0.666667,6.250000003,36.89687561399768,60784.17551783875,74395.36588807436,7.537101019795268,0.3904150717214885,1637.9439254492108
36,340,405,267240,Salmonella,2015-12-30,2016-01-08,9,CT,Connecticut,New Haven,,,,,,,,,,,,,,,,,,,31.01666667,1021.7,5.283333333,0.035666667,54.28269101,10.613333,4.969999997,39.80048367466547,35027.58992058839,61644.31773283433,5.179056107851703,0.2808349394793635,1426.2903022879932
37,342,408,267358,Salmonella,2015-02-04,2015-02-12,8,WA,Washington,King,,,,,,,,,,,,,,,,,,,51.8,1011.182407,4.690740741,0.29537037,82.87477056,6.282407,4.776851852,37.2059670642116,132422.46527992643,73221.53374852632,5.6294998021472376,0.2961634765865765,951.464298802794
38,345,415,267510,Salmonella,2016-02-12,2016-02-12,9,TN,Tennessee,Williamson,,,,,,,,,,,,,,,,,,,35.86,1023.15,3.61,0.0,57.35754765,22.36,9.25,38.91855832001218,17862.636086295708,97080.57250292052,3.7432302766995447,0.1658970299601443,343.55033269353373
39,346,417,267703,Salmonella,2016-02-20,2016-02-28,87,OH,Ohio,Montgomery,,,,,,,,,,,,,,,,,,,41.89444444,1013.805556,10.45555556,0.206111111,66.37297102,36.2388893,7.11111111,39.396610299233416,31723.192449354425,44017.09900245119,6.678422435085788,0.0668545575088412,1156.173574844906
40,351,423,268592,Salmonella,2016-02-06,2016-02-08,10,IL,Illinois,Cook,,,,,,,,,,,,,,,,,,,33.56666667,1014.983333,8.066666667,0.0,72.50177872,23.383333,6.711111113,35.918860900838986,178924.28092014857,55356.63289317679,5.645321999781291,0.0931814909839829,5538.524061231906
41,358,432,269066,Salmonella,2016-02-26,2016-03-09,13,AL,Alabama,Elmore,,,,,,,,,,,,,,,,,,,52.86076923,1021.401538,4.811538462,0.104615385,63.85009417,12.652307,6.648461538,37.97729044260736,6974.070072666176,53472.08110333421,3.578166345520763,0.1616197993521575,130.67136730816088
42,391,472,270931,Salmonella,2015-12-04,2016-01-08,55,AL,Alabama,Shelby,,,,,,,,,,,,,,,,,,,53.60277778,1020.258333,3.944444444,0.196666667,72.97143615,21.1722219,5.405555556,37.89152258539836,15500.203768466185,70158.19179237484,5.101238358643176,0.2102084242427309,259.2213122314793
43,392,473,271008,Salmonella,2016-01-07,2016-01-08,6,CO,Colorado,Eagle,,,,,,,,,,,,,,,,,,,27.9,1013.979736328125,1.5,0.03,85.04668489,21.264549255371094,6.95,35.6071122669663,3525.838790729081,72270.39932081487,9.37424221890528,0.906492091453093,31.214670797673563
44,396,477,271258,Salmonella,2016-12-12,2016-12-28,50,MO,Missouri,Clay,,,,,,,,,,,,,,,,,,,29.33529412,1022.817647,5.35,0.013823529,64.96654512,28.3794117,7.08529412,36.79736489913392,17328.843328408675,63649.32261010716,5.788315780082389,0.0986655234633156,586.5782038701842
45,401,484,272169,Salmonella,2017-01-25,2017-01-30,6,MN,Minnesota,Anoka,,,,,,,,,,,,,,,,,,,27.5,1016.9367065429688,8.716666667,0.0,76.28208406,46.24940490722656,4.633333333,37.91060929792944,21393.34322448288,73823.01661107465,4.745601993357715,0.2414509958164981,807.2971948626405
46,403,487,273926,Salmonella,2017-02-11,2017-02-17,9,OK,Oklahoma,Oklahoma,,,,,,,,,,,,,,,,,,,51.33809524,1016.952381,10.93333333,0.201904762,53.32153137,46.8857143,6.00952381,34.313729284282985,52118.29733936135,49199.78603702083,6.203078072145451,0.2365128282988375,1080.5403712031589
47,406,490,274466,Salmonella,2017-02-03,2017-02-11,41,NC,North Carolina,Wake,,,,,,,,,,,,,,,,,,,48.15555556,1019.366667,6.411111111,0.042222222,48.61414085,15.966667,5.766666669,35.62469170821271,71217.56652881643,70966.88215146239,5.246163802012961,0.1276708622370662,1198.6169078824691
48,409,494,274152,Salmonella,2017-02-12,2017-02-26,7,MN,Minnesota,Hennepin,,,,,,,,,,,,,,,,,,,37.73333333,1011.053333,8.82,0.044444444,63.08365067,32.7577774,6.98222222,36.21547206592022,83820.1092655598,68394.4792799471,5.491672305321095,0.1836157997060625,2187.9653173458373
49,417,503,274739,Salmonella,2017-02-14,2017-06-11,19,CT,Connecticut,New Haven,,,,,,,,,,,,,,,,,,,48.13516949,1015.612712,6.750847458,0.063403955,60.67503892,10.384746,6.413771182,39.87252802090717,35860.89019733704,63263.08401871486,5.074976402531513,0.1244710272779302,1424.6485569493143
50,427,514,275576,Salmonella,2016-12-04,2016-12-05,5,CA,California,Butte,,,,,,,,,,,,,,,,,,,44.25,1021.15,2.7,0.0,82.61487005,8.025,3.8,36.89537626226267,14582.155656129567,44251.85227489339,7.21268451828344,2.2777145208143748,136.74975234342097
51,437,527,275927,Salmonella,2015-12-13,2016-05-21,42,CA,California,Alameda,Contra Costa,Fresno,Los Angeles,Madera,Sacramento,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Stanislaus,Yolo,,,,,,,,57.35457673,1017.266337,6.102113251,0.04496396,58.74836485,18.7097879,7.109576729,35.60714493204369,66136.55167748254,63001.85147471728,5.52407647244837,3.056590507453743,2392.2677827093703
52,444,536,276307,Salmonella,2017-02-24,2017-06-16,8,AZ,Arizona,Maricopa,,,,,,,,,,,,,,,,,,,76.1877999,1010.169912,5.797930187,0.004750702,19.55072397,41.6281839,7.006324973,35.86474447567226,206181.3655285793,56454.68627443912,5.839765293146356,0.3062713778467374,446.4519309809643
