,Unnamed: 0.1,Unnamed: 0,CDCID,GenusName,InitialExposure,LastExposure,TotalCases,Exposurestate,ExposureState,ExposureCounty1,ExposureCounty2,ExposureCounty3,ExposureCounty4,ExposureCounty5,ExposureCounty6,ExposureCounty7,ExposureCounty8,ExposureCounty9,ExposureCounty10,ExposureCounty11,ExposureCounty12,ExposureCounty13,ExposureCounty14,ExposureCounty15,ExposureCounty16,ExposureCounty17,ExposureCounty18,ExposureCounty19,TEMP,SLP,WDSP,PRCP,RH,SLP-STP,MXSPD-WDSP,Median age,Immigrants,Households Median Income,%Food preparation,"%Farming, fishing, and forestry",Population Density
32,161,190,15873,Salmonella,2013-09-05,2013-09-05,9,OH,Ohio,Cuyahoga,,,,,,,,,,,,,,,,,,,68.175,1020.733333,9.0,0.0,63.02200264,27.0666663,4.5,40.358700203589,44611.60938091303,43753.56727049991,5.987721076551767,0.0869695220162917,2787.021664283722
33,165,194,15901,Salmonella,2013-09-09,2013-09-17,32,OH,Ohio,Fulton,,,,,,,,,,,,,,,,,,,63.94555556,1018.797778,6.213333333,0.114444444,47.85350156,27.967778,6.031111107,39.61057512709949,1661.5763976671517,53019.32897589785,4.961749067733734,0.5209541976985839,105.09868164206576
34,168,197,15920,Salmonella,2013-09-01,2013-09-01,11,SC,South Carolina,Greenwood,,,,,,,,,,,,,,,,,,,76.9,1012.6,3.9,0.04,82.07608996,21.7,11.1,38.28037703933702,4435.424608038183,36936.73254440085,5.459196569471475,0.8588820144190581,153.24697241985524
35,170,200,15995,Salmonella,2013-09-12,2013-09-21,23,IL,Illinois,Grundy,,,,,,,,,,,,,,,,,,,64.12,1017.6134643554688,4.86,0.0425,71.96838238,30.008209228515625,6.41,36.62394348419015,2418.35014883278,64270.90604999675,7.569556573774221,0.2714412703772507,119.65919537321903
36,173,205,16053,Salmonella,2013-10-04,2013-10-04,50,AL,Alabama,Limestone,,,,,,,,,,,,,,,,,,,72.8,1018.5,3.1,0.0,77.1135154,20.9,3.9,38.51550881486123,5067.006876184939,48486.672443414805,4.99480096547526,0.5515440327404416,151.45829064645773
37,174,208,16209,Salmonella,2012-09-01,2012-11-04,10,CA,California,Santa Clara,,,,,,,,,,,,,,,,,,,63.88205128,1016.108462,4.605512821,0.010717949,64.85096913,2.335129,7.016282049,36.15089340218301,90661.71000872224,90441.75792673616,4.222871680057653,0.285476051313785,1381.581163757915
38,175,209,16210,Salmonella,2013-09-30,2013-09-30,11,TN,Tennessee,Washington,,,,,,,,,,,,,,,,,,,63.89,1016.4,2.1,0.0,50.6081421,52.8,4.9,39.604815283535885,8507.875318224551,42206.38468935201,6.887268350674445,0.0270064624271161,378.71279013343656
39,181,215,16263,Salmonella,2013-10-05,2013-10-21,10,PA,Pennsylvania,Venango,,,,,,,,,,,,,,,,,,,55.18235294,1014.6527709960938,6.194117647,0.100588235,70.32598611,22.709835052490234,5.776470593,44.62502021478708,2464.8476229309413,41864.88142135738,5.287669450028688,0.3708780087790886,81.05490887754166
40,182,217,16379,Salmonella,2013-11-27,2013-12-05,32,TN,Tennessee,Bradley,,,,,,,,,,,,,,,,,,,44.13222222,1020.822222,3.075555556,0.144444444,77.20049265,32.2133331,5.847777777,38.46813657480308,5445.404980357341,41036.89396587445,6.339134212583564,0.6858521118750115,304.1740583158722
41,184,221,16626,Salmonella,2013-09-06,2013-09-20,15,KY,Kentucky,Hopkins,,,,,,,,,,,,,,,,,,,72.10266667,1018.393333,3.175333333,0.098666667,74.40395545,16.762,6.575333334,40.22081752695442,1976.705406393632,40696.10969686969,6.566239429413107,0.5665500093704277,86.41793211675785
