,CDCID,GenusName,InitialExposure,LastExposure,TotalCases,Exposurestate,ExposureState,ExposureCounty1,ExposureCounty2,ExposureCounty3,ExposureCounty4,ExposureCounty5,ExposureCounty6,ExposureCounty7,ExposureCounty8,ExposureCounty9,ExposureCounty10,ExposureCounty11,ExposureCounty12,ExposureCounty13,ExposureCounty14,ExposureCounty15,ExposureCounty16,ExposureCounty17,ExposureCounty18,ExposureCounty19,TEMP,SLP,WDSP,PRCP,RH,SLP-STP,MXSPD-WDSP,Median age,Immigrants,Households Median Income,%Food preparation,"%Farming, fishing, and forestry",Population Density
33,8348,Salmonella,2011-07-09,2011-07-15,10,NY,New York,Erie,,,,,,,,,,,,,,,,,,,73.35714286,1013.714286,6.985714286,0.0,59.41847366,25.2428574,6.000000004,40.12433861502432,31085.060759056938,48138.02820336177,6.164043939687547,0.10950781203447206,882.4168026121303
34,8379,Salmonella,2011-04-15,2011-04-19,14,CA,California,Butte,,,,,,,,,,,,,,,,,,,59.78,1017.7,3.85,0.033,70.32750099,7.95,5.76,37.138903401299906,15079.458404443241,43045.94646641505,6.843353106395273,1.5248026459517114,133.68051286639988
35,8398,Salmonella,2011-02-27,2011-11-26,5,MA,Massachusetts,Middlesex,Plymouth,Suffolk,,,,,,,,,,,,,,,,,58.77212454,1015.187332,6.621855922,0.114485348,69.0440829,3.0855,6.483180708,36.8824853402329,64323.47291576873,67988.02044932402,5.567989961294467,0.16836207853701937,4915.785405227388
36,8416,Salmonella,2011-07-26,2011-08-27,31,MN,Minnesota,Wright,,,,,,,,,,,,,,,,,,,71.71060606,,3.192424242,0.088,75.34810617,,7.968181818,34.29413670686969,7226.544057253724,69014.19815059952,4.641639699254285,0.34383066769693893,184.77395621903835
37,8488,Salmonella,2011-09-04,2011-09-05,12,IL,Illinois,Kane,,,,,,,,,,,,,,,,,,,62.35,1016.15,8.45,0.025,71.33739239,25.9,8.05,34.326737680316455,29215.923580106966,69494.8593762457,4.398746683806575,0.20196288846161836,975.9054434441157
38,8495,Salmonella,2011-09-07,2011-09-07,8,IL,Illinois,Stephenson,,,,,,,,,,,,,,,,,,,54.6,,4.3,0.0,69.43323501,,7.7,43.14582958156081,2182.3325780019018,42980.67435439529,5.254172261290476,1.3470131691558,84.62137473894401
39,8517,Salmonella,2011-09-02,2011-09-02,37,OH,Ohio,Cuyahoga,,,,,,,,,,,,,,,,,,,80.725,1014.5,3.475,0.0425,76.24994402,26.9666667,3.05,39.81361075140993,43693.717657102265,44050.809700840146,5.805481692603176,0.11296494230103943,2817.199904175104
40,8540,Salmonella,2011-04-23,2011-05-11,12,CA,California,Los Angeles,,,,,,,,,,,,,,,,,,,63.56954887,1014.808738,7.382631579,0.001766917,43.46160342,37.0322535,7.487042611,34.432812285887714,282747.7479889624,55856.5471868759,5.170015267496749,0.32399489280000865,2405.9924331314432
41,8548,Salmonella,2011-06-29,2011-06-30,9,VA,Virginia,Chesterfield,,,,,,,,,,,,,,,,,,,78.25,,4.1,0.17,56.2095168,,4.35,37.06703634185826,20893.25401942045,72523.34062108693,4.125244944008918,0.10986641937168388,734.3417306781914
42,8549,Salmonella,2011-06-25,2011-06-25,35,VA,Virginia,Prince Edward,,,,,,,,,,,,,,,,,,,75.36,1011.4,3.11,0.0,63.12688088,27.51,7.48,30.711129493663538,3329.0991284577676,36752.36476477069,6.828607892390507,1.6313096126596254,65.65433954165351
