,Unnamed: 0,CDCID,GenusName,InitialExposure,LastExposure,TotalCases,Exposurestate,ExposureState,ExposureCounty1,ExposureCounty2,ExposureCounty3,ExposureCounty4,ExposureCounty5,ExposureCounty6,ExposureCounty7,ExposureCounty8,ExposureCounty9,ExposureCounty10,ExposureCounty11,TEMP,SLP,WDSP,PRCP,RH,SLP-STP,MXSPD-WDSP,Median age,Immigrants,Households Median Income,%Food preparation,"%Farming, fishing, and forestry",Population Density
200,601,20592,Norovirus,2014-01-30,2014-02-10,60,WA,Washington,Whatcom,,,,,,,,,,,32.09583333,1018.979167,10.4375,0.01875,46.64110326,6.095834,6.10833333,36.4992160932208,11289.90237752146,52033.98095606747,6.3879105544884345,2.357989600344334,96.52473399489888
201,619,20886,Norovirus,2014-12-02,2014-12-02,5,MN,Minnesota,Hennepin,,,,,,,,,,,12.66666667,1024.833333,9.366666667,0.0,60.62302995,35.033333,5.333333333,36.09671523943351,81423.7016143901,64990.54648447634,5.596718103713837,0.1776028202958706,2136.9078570208103
202,622,21068,Norovirus,2014-12-05,2014-12-05,30,MN,Minnesota,St. Louis,,,,,,,,,,,23.3125,1021.15,3.4875,0.0,64.60427953,47.7625,5.1125,40.798184186106575,11719.52744572681,47069.014073645536,6.985080110855611,0.326560886602093,32.101894993284006
203,623,21070,Norovirus,2014-12-09,2014-12-12,9,MN,Minnesota,Ramsey,,,,,,,,,,,26.4,1027.775,6.5,0.0,87.58388325,27.0,4.95,34.599557484439906,45128.607439782565,55411.33048013439,5.294222827779695,0.2748769810646646,3422.3428916257426
204,624,21072,Norovirus,2014-12-11,2014-12-14,58,MN,Minnesota,Ramsey,,,,,,,,,,,35.975,1019.925,6.5,0.0,93.55425564,26.4,4.0,34.5995972012597,45134.88434112069,55416.246127835664,5.294509288249163,0.2749033511741129,3422.565493735294
205,629,21133,Norovirus,2013-12-13,2014-12-15,11,MN,Minnesota,Ramsey,,,,,,,,,,,42.5236413,1016.157221,7.761956522,0.092179837,67.79326344,26.2329703,7.302989128,34.598951986380264,44881.582766655134,54838.84381977586,5.376244890175895,0.2730723856747782,3404.115596996124
206,630,21134,Norovirus,2014-12-02,2014-12-02,8,IA,Iowa,Johnson,,,,,,,,,,,18.1,1029.0,5.6,0.0,69.40456954,26.1,6.4,29.6874961616466,16399.875685475658,54861.02869367387,7.554032820691991,0.4515799204908476,222.4317668845661
207,631,21135,Norovirus,2014-12-06,2014-12-10,176,IA,Iowa,Polk,,,,,,,,,,,33.19,1029.12,7.7,0.0,78.94527609,35.55,6.78,34.89298291814551,28225.006822254025,59821.482804133055,5.655911503484309,0.3101313687299362,774.983325833188
208,632,21194,Norovirus,2014-12-11,2014-12-11,20,WI,Wisconsin,Racine,,,,,,,,,,,25.0,1025.5,6.4,0.0,80.62436197,27.4,2.55,39.4894720589912,7905.168531299882,54995.40870117515,5.614992759466033,0.4710530656895898,586.5970833977154
209,633,21227,Norovirus,2014-12-20,2014-12-20,32,FL,Florida,Escambia,,,,,,,,,,,50.33333333,1019.433333,7.333333333,0.56,91.83455803,2.883333,3.966666667,37.20322364173797,27233.397148615,44857.37921712018,7.413818106084921,0.2739280595111766,463.115279547483
210,634,21238,Norovirus,2014-12-04,2014-12-25,10,MN,Minnesota,Hennepin,,,,,,,,,,,30.18333333,1019.889394,7.277272727,0.021212121,82.85268344,33.3833334,4.869696973,36.09825485844761,81555.83107619909,65008.88362344315,5.597774250156025,0.1779825923362755,2137.778183475135
211,635,21301,Norovirus,2014-12-27,2014-12-27,15,NY,New York,Queens,,,,,,,,,,,46.13333333,1023.033333,4.766666667,0.0,57.79914903,0.683333,5.166666666,37.4982902661422,87697.90167080035,57208.26394848956,7.075239803067553,0.0736086235805514,21010.966650729293
212,636,21312,Norovirus,2014-12-12,2014-12-14,16,OR,Oregon,Washington,,,,,,,,,,,44.2,1014.933333,4.1,0.063333333,89.80560809,8.0,11.26666667,35.88573597224959,40663.187507990886,65205.87966372452,5.482686829743364,1.129181894113337,755.3385504063726
213,637,21322,Norovirus,2014-12-09,2014-12-10,15,VA,Virginia,Arlington,,,,,,,,,,,42.4,1014.1,12.85,0.165,65.97611995,1.6,5.6,33.79904526850484,29405.452397974223,105043.7571146185,4.241868538847831,0.0318685393835236,8467.064822884488
214,638,21325,Norovirus,2014-12-31,2014-12-31,15,OH,Ohio,Franklin,,,,,,,,,,,20.975,1032.7,8.0,0.0,58.00543292,31.45,6.0,33.8,75278.0,51890.0,5.887304589698672,0.114788215741956,2250.309100133411
